0.000 300	1.241 6.586 10.872	1.243 6.594 10.913	1.241 6.645 11.003	1.244 6.640 10.888	1.245 6.629 10.906	1.240 6.583 10.825
0.050 325	1.236 6.581 10.926	1.237 6.606 10.975	1.239 6.646 10.959	1.242 6.622 10.955	1.247 6.611 10.897	1.238 6.580 10.843
0.100 350	1.247 6.635 10.872	1.250 6.632 10.988	1.248 6.706 11.107	1.251 6.701 10.977	1.250 6.676 10.998	1.248 6.610 10.872
0.150 400	1.242 6.632 10.908	1.246 6.613 11.022	1.244 6.688 10.960	1.244 6.684 10.848	1.245 6.663 10.962	1.243 6.590 10.889
0.200 449	1.244 6.547 10.933	1.253 6.603 11.071	1.252 6.659 11.083	1.251 6.625 11.051	1.252 6.625 11.010	1.250 6.569 10.885
0.250 499	1.249 6.634 10.734	1.251 6.603 10.927	1.256 6.653 10.878	1.254 6.658 10.870	1.251 6.612 10.897	1.248 6.589 10.764
0.300 549	1.238 6.566 10.933	1.247 6.603 11.059	1.242 6.673 10.985	1.246 6.657 11.037	1.242 6.628 10.997	1.246 6.581 10.895
0.350 599	1.244 6.587 10.872	1.241 6.594 11.004	1.243 6.681 10.998	1.248 6.648 10.877	1.241 6.629 10.994	1.244 6.584 10.840
0.400 649	1.244 6.628 10.954	1.241 6.639 11.025	1.250 6.671 11.087	1.250 6.676 10.888	1.247 6.650 11.008	1.239 6.612 10.915
0.450 699	1.249 6.532 10.699	1.252 6.580 10.941	1.248 6.611 10.961	1.254 6.608 10.827	1.255 6.619 10.868	1.248 6.539 10.709
0.500 848	1.256 6.602 10.936	1.261 6.639 11.078	1.263 6.668 11.107	1.259 6.690 10.986	1.266 6.631 11.043	1.260 6.586 10.927
0.550 999	1.248 6.585 10.744	1.250 6.572 10.840	1.244 6.606 10.876	1.251 6.659 10.846	1.253 6.609 10.831	1.253 6.525 10.779
0.600 1709	1.266 6.554 10.784	1.266 6.574 10.871	1.263 6.649 10.878	1.267 6.651 10.855	1.269 6.595 10.809	1.262 6.528 10.665
0.650 6939	1.315 6.523 10.596	1.313 6.559 10.713	1.316 6.608 10.782	1.318 6.586 10.709	1.315 6.601 10.773	1.310 6.560 10.691
0.700 35942	1.751 6.099 9.378	1.747 6.130 9.422	1.753 6.169 9.461	1.750 6.146 9.441	1.749 6.122 9.436	1.747 6.096 9.387
0.750 45949	1.914 5.946 8.851	1.915 5.947 8.947	1.908 5.978 8.907	1.916 5.977 8.844	1.916 5.944 8.862	1.913 5.948 8.813
0.800 67813	2.031 5.813 8.443	2.033 5.825 8.517	2.035 5.864 8.511	2.033 5.875 8.528	2.029 5.866 8.521	2.029 5.833 8.424
0.850 119475	2.228 5.696 7.885	2.221 5.706 7.991	2.224 5.737 7.983	2.222 5.735 7.890	2.220 5.731 7.962	2.218 5.686 7.895
0.900 298975	2.598 6.446 9.103	2.600 6.451 9.215	2.607 6.437 9.170	2.603 6.488 9.181	2.597 6.477 9.254	2.594 6.421 9.147
0.950 9999684	3.491 19.795 60.101	3.496 20.706 61.826	3.500 21.148 63.789	3.490 21.013 62.868	3.499 21.668 63.893	3.496 21.766 64.180
