0.000 3286	1.118 5.637 9.508	1.124 5.711 9.127	1.119 5.692 9.623	1.119 5.659 9.423	1.116 5.590 8.907	1.122 5.664 9.308
0.050 6591	1.237 5.535 8.610	1.220 5.673 8.656	1.239 5.670 9.002	1.236 5.630 9.249	1.227 5.715 8.990	1.220 5.623 9.081
0.100 9971	1.312 5.465 8.476	1.302 5.599 8.776	1.308 5.604 8.851	1.321 5.484 8.751	1.309 5.612 8.989	1.310 5.499 8.843
0.150 19667	1.434 5.520 8.407	1.436 5.459 8.525	1.439 5.523 8.482	1.444 5.533 8.482	1.426 5.523 8.385	1.438 5.586 8.798
0.200 24727	1.578 5.312 8.176	1.578 5.333 8.199	1.570 5.350 8.162	1.574 5.367 8.389	1.573 5.378 8.445	1.556 5.329 8.235
0.250 29672	1.644 5.221 7.755	1.640 5.247 8.048	1.640 5.225 7.963	1.643 5.317 8.275	1.622 5.265 7.866	1.636 5.272 7.763
0.300 39248	1.720 5.314 7.652	1.739 5.273 7.829	1.731 5.363 7.867	1.734 5.157 7.568	1.699 5.312 7.762	1.736 5.304 7.881
0.350 49163	1.813 5.181 7.243	1.843 5.172 7.543	1.819 5.184 7.586	1.825 5.168 7.577	1.821 5.193 7.910	1.823 5.162 7.508
0.400 60463	1.926 5.127 7.374	1.918 5.113 7.338	1.924 5.209 7.482	1.925 5.180 7.539	1.915 5.178 7.366	1.917 5.258 7.548
0.450 71988	2.002 5.232 7.327	2.021 5.125 7.351	1.994 5.201 7.355	1.994 5.281 7.470	2.010 5.156 7.358	2.000 5.163 7.542
0.500 105316	2.077 5.095 7.138	2.088 5.151 7.170	2.081 5.245 7.231	2.089 5.211 7.163	2.099 5.276 7.377	2.074 5.234 7.155
0.550 190781	2.309 5.545 7.533	2.301 5.626 7.939	2.302 5.588 7.713	2.302 5.629 7.661	2.293 5.590 7.974	2.282 5.663 7.946
0.600 553486	2.683 6.682 10.433	2.690 6.547 10.511	2.687 6.699 10.373	2.695 6.594 9.983	2.690 6.658 10.490	2.688 6.787 10.458
0.650 950735	2.945 7.765 26.494	2.943 7.608 24.432	2.966 8.016 27.984	2.947 7.763 27.806	2.956 7.871 26.633	2.916 8.061 27.951
0.700 1433309	3.127 10.337 48.234	3.151 10.629 47.779	3.149 10.461 52.758	3.185 11.238 51.285	3.169 10.321 48.499	3.170 11.793 53.114
0.750 1932366	3.338 16.279 64.157	3.358 18.385 65.703	3.310 17.630 66.384	3.352 19.319 63.800	3.314 17.625 65.577	3.318 17.598 66.434
0.800 3296235	3.610 27.881 69.142	3.587 28.805 75.221	3.614 27.849 72.067	3.611 28.297 73.439	3.573 28.194 71.207	3.589 28.029 76.285
0.850 4782279	4.247 38.542 79.966	4.231 38.218 81.107	4.269 38.544 83.115	4.267 39.262 77.880	4.261 39.993 81.635	4.254 39.419 81.388
0.900 8146963	5.335 42.858 77.004	5.274 43.818 78.109	5.430 43.911 80.852	5.268 43.965 79.264	5.275 45.471 81.481	5.348 44.752 78.600
0.950 29986638	8.481 42.889 66.846	8.532 42.957 68.426	8.607 44.528 69.065	8.581 44.253 71.633	8.652 45.156 71.862	8.708 43.830 70.710
